Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2648,-1,N/A,,2648,,17897,17897,,0
H3,2010,2010,2010,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1622,-1,N/A,,6111,,5743,5743,,4
H3,2010,2010,2010,6,1,0,M,882,Samoa,WSM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1600,-1,N/A,,5590,,5254,5254,,4
H3,2010,2010,2010,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,22,-1,N/A,,521,,489,489,,4
H3,2011,2011,2011,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17282,-1,N/A,,48268,,46905,46905,,4
H3,2011,2011,2011,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2000,-1,N/A,,6774,,6582,6582,,4
H3,2011,2011,2011,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15282,-1,N/A,,41494,,40322,40322,,4
H4,2012,2012,2012,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15500,-1,N/A,,,,41129,41129,,0
H4,2012,2012,2012,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1600,-1,N/A,,,,5822,5822,,0
H4,2012,2012,2012,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13875,-1,N/A,,,,34821,34821,,0
H4,2012,2012,2012,6,1,0,M,882,Samoa,WSM,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25,-1,N/A,,,,486,486,,0
H4,2013,2013,2013,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20374,-1,N/A,,42276,,50666,50666,,4
H4,2013,2013,2013,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2800,-1,N/A,,9759,,11695,11695,,4
H4,2013,2013,2013,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1190,-1,N/A,,1097,,1314,1314,,4
H4,2013,2013,2013,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16384,-1,N/A,,31421,,37656,37656,,4
H4,2014,2014,2014,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9373,-1,N/A,,23222,,26261,26261,,4
H4,2014,2014,2014,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9373,-1,N/A,,23222,,26261,26261,,4
H4,2015,2015,2015,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,22751,-1,N/A,,50697,,53475,53475,,4
H4,2015,2015,2015,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4380,-1,N/A,,7318,,7719,7719,,4
H4,2015,2015,2015,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18296,-1,N/A,,43242,,45611,45611,,4
H4,2015,2015,2015,6,1,0,M,882,Samoa,WSM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,75,-1,N/A,,136,,144,144,,4
H4,2016,2016,2016,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,31085,-1,N/A,,79664,,71807,71807,,4
H4,2016,2016,2016,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1600,-1,N/A,,6767,,6100,6100,,4
H4,2016,2016,2016,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4385,-1,N/A,,8177,,7370,7370,,4
H4,2016,2016,2016,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25100,-1,N/A,,64720,,58337,58337,,4
H4,2016,2016,2016,6,1,0,X,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,100,-1,N/A,,1945,,1598,,1598,4
H4,2016,2016,2016,6,1,0,X,882,Samoa,WSM,772,Tokelau,TKL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,100,-1,N/A,,1945,,1598,,1598,4
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,59259,-1,N/A,0,59259,,92716,92716.115,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,7,l,2.5,2,,37,37.556,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14010,7,l,14010,14010,,8519,8519.34,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2592,7,l,2592.8,2592,,4350,4350.2,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,7,l,16000,16000,,15992,15992.244,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,26645,-1,N/A,0,26645,,63749,63749.569,,0
H4,2017,2017,2017,6,1,0,M,882,Samoa,WSM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9,7,l,9,9,,67,67.206,,0
H4,2017,2017,2017,6,1,0,X,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,120,7,l,120,120,,316,,316.547,0
H4,2017,2017,2017,6,1,0,X,882,Samoa,WSM,772,Tokelau,TKL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,120,7,l,120,120,,316,,316.547,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,135673,7,l,135673.3,135673,,108005,108005.472,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,36,Australia,AUS,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,7,l,2.5,2,,171,171.895,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,156,China,CHN,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18,7,l,18,18,,43,43.263,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,242,Fiji,FJI,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,992,7,l,992.8,992,,1940,1940.671,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,410,Rep. of Korea,KOR,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12800,7,l,12800,12800,,15677,15677.566,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,0,World,W00,554,New Zealand,NZL,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,121860,7,l,121860,121860,,90172,90172.077,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,7,l,2.5,2,,171,171.895,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,36,Australia,AUS,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,7,l,2.5,2,,171,171.895,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12818,7,l,12818,12818,,15720,15720.829,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,156,China,CHN,156,China,CHN,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18,7,l,18,18,,43,43.263,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,156,China,CHN,410,Rep. of Korea,KOR,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12800,7,l,12800,12800,,15677,15677.566,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,992,7,l,992.8,992,,1940,1940.671,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,242,Fiji,FJI,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,992,7,l,992.8,992,,1940,1940.671,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,121860,7,l,121860,121860,,90172,90172.077,,0
H4,2018,2018,2018,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,554,New Zealand,NZL,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,121860,7,l,121860,121860,,90172,90172.077,,0
H4,2018,2018,2018,6,1,0,X,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,525,7,l,525,525,,3016,,3016.583,0
H4,2018,2018,2018,6,1,0,X,882,Samoa,WSM,772,Tokelau,TKL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,525,7,l,525,525,,3016,,3016.583,0
H4,2019,2019,2019,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6385,7,l,6385,6385,0,17122,17122.23,,0
H4,2019,2019,2019,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6380,7,l,6380,6380,0,17076,17076.78,,0
H4,2019,2019,2019,6,1,0,M,882,Samoa,WSM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5,7,l,5,5,0,45,45.45,,0
H4,2019,2019,2019,6,1,0,X,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,197,7,l,197,197,0,4000,,4000.06,0
H4,2019,2019,2019,6,1,0,X,882,Samoa,WSM,772,Tokelau,TKL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,197,7,l,197,197,0,4000,,4000.06,0
H1,2001,2001,2001,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,709,-1,N/A,,656,,1887,1887,,0
H1,2001,2001,2001,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,181,-1,N/A,,167,,655,655,,0
H1,2001,2001,2001,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,304,-1,N/A,,281,,780,780,,0
H1,2001,2001,2001,6,1,0,M,882,Samoa,WSM,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,225,-1,N/A,,208,,452,452,,0
H1,2002,2002,2002,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1410,-1,N/A,,1304,,5554,5554,,4
H1,2002,2002,2002,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,165,-1,N/A,,153,,714,714,,4
H1,2002,2002,2002,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,360,-1,N/A,,333,,536,536,,4
H1,2002,2002,2002,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,405,-1,N/A,,375,,1232,1232,,4
H1,2002,2002,2002,6,1,0,M,882,Samoa,WSM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,480,-1,N/A,,444,,3072,3072,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,504,-1,N/A,,466,,1978,1978,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,137,-1,N/A,,127,,408,408,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,24,-1,N/A,,22,,94,94,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2,-1,N/A,,2,,28,28,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,179,-1,N/A,,166,,498,498,,4
H1,2003,2003,2003,6,1,0,M,882,Samoa,WSM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,162,-1,N/A,,150,,951,951,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,444,-1,N/A,,411,,1455,1455,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,98,-1,N/A,,91,,254,254,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,18,-1,N/A,,17,,114,114,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,7,-1,N/A,,6,,46,46,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2,-1,N/A,,1,,20,20,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,59,-1,N/A,,55,,187,187,,4
H1,2004,2004,2004,6,1,0,M,882,Samoa,WSM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,260,-1,N/A,,241,,833,833,,4
H1,2004,2004,2004,6,1,0,X,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1000,-1,N/A,,925,,7579,,7579,4
H1,2004,2004,2004,6,1,0,X,882,Samoa,WSM,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1000,-1,N/A,,925,,7579,,7579,4
H1,2005,2005,2005,6,1,0,M,882,Samoa,WSM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,757,-1,N/A,,700,,3712,3712,,4
H1,2005,2005,2005,6,1,0,M,882,Samoa,WSM,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,158,-1,N/A,,146,,581,581,,4
H1,2005,2005,2005,6,1,0,M,882,Samoa,WSM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,152,-1,N/A,,141,,716,716,,4
H1,2005,2005,2005,6,1,0,M,882,Samoa,WSM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,79,-1,N/A,,73,,117,117,,4
