Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9855,-1,N/A,,9855,,10773,10773,,0
H1,1999,1999,1999,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,111519,-1,N/A,,111519,,101440,101440,,0
H1,1999,1999,1999,6,1,0,M,768,Togo,TGO,384,Côte d'Ivoire,CIV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,13125,-1,N/A,,13125,,6898,6898,,0
H1,1999,1999,1999,6,1,0,X,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1500,-1,N/A,,1500,,648,,648,0
H1,1999,1999,1999,6,1,0,X,768,Togo,TGO,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1500,-1,N/A,,1500,,648,,648,0
H1,2000,2000,2000,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,136726,-1,N/A,,65177,,67159,67159,,2
H1,2000,2000,2000,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,51314,-1,N/A,,19187,,25205,25205,,2
H1,2000,2000,2000,6,1,0,M,768,Togo,TGO,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,85412,-1,N/A,,45990,,41954,41954,,2
H1,2000,2000,2000,6,1,0,X,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5057,-1,N/A,,4167,,2226,,2226,6
H1,2000,2000,2000,6,1,0,X,768,Togo,TGO,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5057,-1,N/A,,4167,,2226,,2226,6
H1,2001,2001,2001,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,37890,-1,N/A,,18377,,20590,20590,,2
H1,2001,2001,2001,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14756,-1,N/A,,3234,,8019,8019,,2
H1,2001,2001,2001,6,1,0,M,768,Togo,TGO,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23134,-1,N/A,,15143,,12571,12571,,2
H1,2001,2001,2001,6,1,0,X,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5457,-1,N/A,,4500,,2453,,2453,2
H1,2001,2001,2001,6,1,0,X,768,Togo,TGO,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5457,-1,N/A,,4500,,2453,,2453,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,76758,-1,N/A,,42443,,41577,41577,,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1073,-1,N/A,,1420,,581,581,,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7049,-1,N/A,,2990,,3818,3818,,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16737,-1,N/A,,26107,,9066,9066,,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,46746,-1,N/A,,11850,,25321,25321,,2
H1,2002,2002,2002,6,1,0,M,768,Togo,TGO,524,Nepal,NPL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5152,-1,N/A,,76,,2791,2791,,2
H1,2003,2003,2003,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,28264,-1,N/A,,29803,,14192,14192,,2
H1,2003,2003,2003,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12244,-1,N/A,,16444,,6148,6148,,2
H1,2003,2003,2003,6,1,0,M,768,Togo,TGO,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7395,-1,N/A,,6324,,3713,3713,,2
H1,2003,2003,2003,6,1,0,M,768,Togo,TGO,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,408,-1,N/A,,9,,205,205,,2
H1,2003,2003,2003,6,1,0,M,768,Togo,TGO,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8217,-1,N/A,,7026,,4126,4126,,2
H2,2004,2004,2004,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,333821,-1,N/A,,285887,,191706,191706,,2
H2,2004,2004,2004,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,367,-1,N/A,,343,,211,211,,2
H2,2004,2004,2004,6,1,0,M,768,Togo,TGO,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18616,-1,N/A,,6500,,10691,10691,,2
H2,2004,2004,2004,6,1,0,M,768,Togo,TGO,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,314839,-1,N/A,,279044,,180805,180805,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,356361,-1,N/A,,436344,,204650,204650,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12090,-1,N/A,,57990,,6943,6943,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,61042,-1,N/A,,88280,,35055,35055,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13774,-1,N/A,,7003,,7910,7910,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6236,-1,N/A,,22565,,3581,3581,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6538,-1,N/A,,1,,3755,3755,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,248513,-1,N/A,,221877,,142715,142715,,2
H2,2005,2005,2005,6,1,0,M,768,Togo,TGO,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8169,-1,N/A,,38628,,4691,4691,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,832966,-1,N/A,,4900491,,596786,596786,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10396,-1,N/A,,21974,,7448,7448,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15298,-1,N/A,,44000,,10961,10961,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,586137,-1,N/A,,4137889,,419943,419943,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,384,Côte d'Ivoire,CIV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13776,-1,N/A,,146472,,9870,9870,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3036,-1,N/A,,8000,,2175,2175,,2
H2,2007,2007,2007,6,1,0,M,768,Togo,TGO,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,204322,-1,N/A,,542156,,146388,146388,,2
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1183241,-1,N/A,0,6749944,,1064472,1064472.766,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,204,Benin,BEN,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,251,France,FRA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,288,Ghana,GHA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1149216,-1,N/A,0,6665938,,1033862,1033862.613,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,854,Burkina Faso,BFA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1183241,-1,N/A,0,6749944,,1064472,1064472.766,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,204,Benin,BEN,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,251,France,FRA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,288,Ghana,GHA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1149216,-1,N/A,0,6665938,,1033862,1033862.613,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,0,World,W00,854,Burkina Faso,BFA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,20,Andorra,AND,288,Ghana,GHA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3874,-1,N/A,0,23520,,3485,3485.789,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,204,Benin,BEN,204,Benin,BEN,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,288,Ghana,GHA,288,Ghana,GHA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1145341,-1,N/A,0,6642418,,1030376,1030376.824,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,854,Burkina Faso,BFA,854,Burkina Faso,BFA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,20,Andorra,AND,288,Ghana,GHA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3874,-1,N/A,0,23520,,3485,3485.789,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,204,Benin,BEN,204,Benin,BEN,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,288,Ghana,GHA,288,Ghana,GHA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1145341,-1,N/A,0,6642418,,1030376,1030376.824,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,854,Burkina Faso,BFA,854,Burkina Faso,BFA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,251,France,FRA,251,France,FRA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,251,France,FRA,251,France,FRA,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,20,Andorra,AND,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3874,-1,N/A,0,23520,,3485,3485.789,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,204,Benin,BEN,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,288,Ghana,GHA,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1145341,-1,N/A,0,6642418,,1030376,1030376.824,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,854,Burkina Faso,BFA,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3874,-1,N/A,0,23520,,3485,3485.789,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12952,-1,N/A,0,73000,,11652,11652.813,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20141,-1,N/A,0,5006,,18119,18119.409,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1145341,-1,N/A,0,6642418,,1030376,1030376.824,,0
H3,2008,2008,2008,6,1,0,M,768,Togo,TGO,854,Burkina Faso,BFA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,931,-1,N/A,0,6000,,837,837.93,,0
H3,2009,2009,2009,6,1,0,M,768,Togo,TGO,251,France,FRA,251,France,FRA,C05,Free zone,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,61933,-1,N/A,0,27456,,50718,50718.773,,0
H3,2009,2009,2009,6,1,0,M,768,Togo,TGO,76,Brazil,BRA,76,Brazil,BRA,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3258,-1,N/A,0,5477,,2668,2668.127,,0
H3,2009,2009,2009,6,1,0,M,768,Togo,TGO,124,Canada,CAN,124,Canada,CAN,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,90152,-1,N/A,0,298992,,73827,73827.973,,0
