Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,136519,-1,N/A,,113358,,97810,97810,,6
H3,2010,2010,2010,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,55201,-1,N/A,,44835,,42138,42138,,6
H3,2010,2010,2010,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,55201,-1,N/A,,44835,,42138,42138,,6
H3,2010,2010,2010,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,781,-1,N/A,,645,,557,,,6
H3,2010,2010,2010,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,781,-1,N/A,,645,,557,,,6
H3,2010,2010,2010,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1686,-1,N/A,,1394,,1204,,1204,6
H3,2010,2010,2010,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1686,-1,N/A,,1394,,1204,,1204,6
H3,2011,2011,2011,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,156686,-1,N/A,,130144,,126468,126468,,6
H3,2011,2011,2011,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,156686,-1,N/A,,130144,,126468,126468,,6
H3,2011,2011,2011,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5002,-1,N/A,,4104,,4069,,,6
H3,2011,2011,2011,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5002,-1,N/A,,4104,,4069,,,6
H3,2011,2011,2011,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5002,-1,N/A,,4104,,4069,,4069,6
H3,2011,2011,2011,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5002,-1,N/A,,4104,,4069,,4069,6
H3,2012,2012,2012,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,228563,-1,N/A,,191981,,217816,217816,,6
H3,2012,2012,2012,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,228563,-1,N/A,,191981,,217816,217816,,6
H3,2012,2012,2012,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18567,-1,N/A,,14978,,17545,,,6
H3,2012,2012,2012,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18567,-1,N/A,,14978,,17545,,,6
H3,2012,2012,2012,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18567,-1,N/A,,14978,,17545,,17545,6
H3,2012,2012,2012,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18567,-1,N/A,,14978,,17545,,17545,6
H3,2013,2013,2013,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,271992,-1,N/A,,221818,,265838,265838,,6
H3,2013,2013,2013,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,271992,-1,N/A,,221818,,265838,265838,,6
H3,2013,2013,2013,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32333,-1,N/A,,24288,,29351,,,6
H3,2013,2013,2013,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32333,-1,N/A,,24288,,29351,,,6
H3,2013,2013,2013,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32333,-1,N/A,,24288,,29351,,29351,6
H3,2013,2013,2013,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32333,-1,N/A,,24288,,29351,,29351,6
H3,2014,2014,2014,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7463,-1,N/A,,6136,,6939,6939,,6
H3,2014,2014,2014,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7463,-1,N/A,,6136,,6939,6939,,6
H3,2014,2014,2014,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17944,-1,N/A,,14002,,15665,,,6
H3,2014,2014,2014,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17944,-1,N/A,,14002,,15665,,,6
H3,2014,2014,2014,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18048,-1,N/A,,14083,,15756,,15756,6
H3,2014,2014,2014,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18048,-1,N/A,,14083,,15756,,15756,6
H4,2015,2015,2015,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,21874,-1,N/A,,17839,,18816,18816,,6
H4,2015,2015,2015,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,21874,-1,N/A,,17839,,18816,18816,,6
H4,2015,2015,2015,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1426,-1,N/A,,1148,,1166,,1166,6
H4,2015,2015,2015,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1426,-1,N/A,,1148,,1166,,1166,6
H4,2016,2016,2016,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,27583,-1,N/A,,23522,,21203,21203,,6
H4,2016,2016,2016,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,27583,-1,N/A,,23522,,21203,21203,,6
H4,2016,2016,2016,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12116,-1,N/A,,10322,,8482,,8482,6
H4,2016,2016,2016,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12116,-1,N/A,,10322,,8482,,8482,6
H4,2017,2017,2017,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,104664,-1,N/A,0,89483,,78849,78849.818,,0
H4,2017,2017,2017,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,104664,-1,N/A,0,89483,,78849,78849.818,,0
H4,2017,2017,2017,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,44116,-1,N/A,0,35040,,31393,,31393.773,0
H4,2017,2017,2017,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,44116,-1,N/A,0,35040,,31393,,31393.773,0
H4,2018,2018,2018,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,41370,-1,N/A,0,35816,,31577,31577.424,,0
H4,2018,2018,2018,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,41370,-1,N/A,0,35816,,31577,31577.424,,0
H4,2018,2018,2018,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25993,-1,N/A,0,19517,,19663,,19663.253,0
H4,2018,2018,2018,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25993,-1,N/A,0,19517,,19663,,19663.253,0
H4,2019,2019,2019,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,66233,-1,N/A,0,56852,0,48566,48566.258,,6
H4,2019,2019,2019,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,66233,-1,N/A,0,56852,0,48566,48566.258,,6
H4,2019,2019,2019,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,651,-1,N/A,0,534,0,474,,474.173,6
H4,2019,2019,2019,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,651,-1,N/A,0,534,0,474,,474.173,6
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,231935,-1,N/A,,567431,,2361960,2361960,,6
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,231935,-1,N/A,,567431,,2361960,2361960,,6
H3,2007,2007,2007,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,11877,-1,N/A,,31610,,96670,,,6
H3,2007,2007,2007,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,11877,-1,N/A,,31610,,96670,,,6
H3,2007,2007,2007,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,131141,-1,N/A,,349022,,1067370,,1067370,6
H3,2007,2007,2007,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,131141,-1,N/A,,349022,,1067370,,1067370,6
H3,2008,2008,2008,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,193365,-1,N/A,,468501,,2043859,2043859,,6
H3,2008,2008,2008,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,193365,-1,N/A,,468501,,2043859,2043859,,6
H3,2008,2008,2008,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,30805,-1,N/A,,82884,,297630,,,6
H3,2008,2008,2008,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,30805,-1,N/A,,82884,,297630,,,6
H3,2008,2008,2008,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,103483,-1,N/A,,278431,,999822,,999822,6
H3,2008,2008,2008,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,103483,-1,N/A,,278431,,999822,,999822,6
H3,2009,2009,2009,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,196323,-1,N/A,,550051,,2637077,2637077,,6
H3,2009,2009,2009,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,196323,-1,N/A,,550051,,2637077,2637077,,6
H3,2009,2009,2009,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,31969,-1,N/A,,86268,,386114,,,6
H3,2009,2009,2009,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,31969,-1,N/A,,86268,,386114,,,6
H3,2009,2009,2009,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,113647,-1,N/A,,306672,,1372591,,1372591,6
H3,2009,2009,2009,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,113647,-1,N/A,,306672,,1372591,,1372591,6
H3,2010,2010,2010,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,520279,-1,N/A,,1302893,,5876021,5876021,,6
H3,2010,2010,2010,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,520279,-1,N/A,,1302893,,5876021,5876021,,6
H3,2010,2010,2010,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,10887,-1,N/A,,26715,,116158,,,6
H3,2010,2010,2010,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,10887,-1,N/A,,26715,,116158,,,6
H3,2010,2010,2010,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,160054,-1,N/A,,392723,,1707607,,1707607,6
H3,2010,2010,2010,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,160054,-1,N/A,,392723,,1707607,,1707607,6
H3,2011,2011,2011,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,497779,-1,N/A,,1294713,,5701807,5701807,,6
H3,2011,2011,2011,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,497779,-1,N/A,,1294713,,5701807,5701807,,6
H3,2011,2011,2011,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,35904,-1,N/A,,89929,,365602,,,6
H3,2011,2011,2011,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,35904,-1,N/A,,89929,,365602,,,6
H3,2011,2011,2011,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,217729,-1,N/A,,545352,,2217101,,2217101,6
H3,2011,2011,2011,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,217729,-1,N/A,,545352,,2217101,,2217101,6
H3,2012,2012,2012,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,393419,-1,N/A,,1201167,,5143239,5143239,,6
H3,2012,2012,2012,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,393419,-1,N/A,,1201167,,5143239,5143239,,6
H3,2012,2012,2012,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,85155,-1,N/A,,202258,,921464,,,6
H3,2012,2012,2012,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,85155,-1,N/A,,202258,,921464,,,6
H3,2012,2012,2012,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,191812,-1,N/A,,455585,,2075598,,2075598,6
H3,2012,2012,2012,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,191812,-1,N/A,,455585,,2075598,,2075598,6
H3,2013,2013,2013,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,341869,-1,N/A,,1012379,,4672766,4672766,,6
H3,2013,2013,2013,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",7,l,341869,-1,N/A,,1012379,,4672766,4672766,,6
