Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,3520,3520,,0
H0,1997,1997,1997,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,45,-1,N/A,,45,,976,976,,0
H0,1997,1997,1997,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,38,-1,N/A,,38,,706,706,,0
H0,1997,1997,1997,6,1,0,M,591,Panama,PAN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,7,-1,N/A,,7,,270,270,,0
H0,1997,1997,1997,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2904264,-1,N/A,,2904264,,1608454,,1608454,0
H0,1997,1997,1997,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,526562,-1,N/A,,526562,,339302,,339302,0
H0,1997,1997,1997,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,566437,-1,N/A,,566437,,289241,,289241,0
H0,1997,1997,1997,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1730000,-1,N/A,,1730000,,896600,,896600,0
H0,1997,1997,1997,6,1,0,X,591,Panama,PAN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,81265,-1,N/A,,81265,,83311,,83311,0
H1,1998,1998,1998,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,306,-1,N/A,,306,,2469,2469,,0
H1,1998,1998,1998,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,195,-1,N/A,,195,,1510,1510,,0
H1,1998,1998,1998,6,1,0,M,591,Panama,PAN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,101,-1,N/A,,101,,629,629,,0
H1,1998,1998,1998,6,1,0,M,591,Panama,PAN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10,-1,N/A,,10,,330,330,,0
H1,1998,1998,1998,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,8407124,-1,N/A,,8407124,,2720933,,2720933,0
H1,1998,1998,1998,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1230062,-1,N/A,,1230062,,438173,,438173,0
H1,1998,1998,1998,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,827062,-1,N/A,,827062,,368090,,368090,0
H1,1998,1998,1998,6,1,0,X,591,Panama,PAN,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1600000,-1,N/A,,1600000,,532000,,532000,0
H1,1998,1998,1998,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,4750000,-1,N/A,,4750000,,1382670,,1382670,0
H1,1999,1999,1999,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,21351,-1,N/A,,21351,,9223,9223,,0
H1,1999,1999,1999,6,1,0,M,591,Panama,PAN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,308,-1,N/A,,308,,1784,1784,,0
H1,1999,1999,1999,6,1,0,M,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,21000,-1,N/A,,21000,,6960,6960,,0
H1,1999,1999,1999,6,1,0,M,591,Panama,PAN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,43,-1,N/A,,43,,479,479,,0
H1,1999,1999,1999,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,7581018,-1,N/A,,7581018,,2992562,,2992562,0
H1,1999,1999,1999,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,6775074,-1,N/A,,6775074,,2510258,,2510258,0
H1,1999,1999,1999,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,728062,-1,N/A,,728062,,423892,,423892,0
H1,1999,1999,1999,6,1,0,X,591,Panama,PAN,577,"Other Africa, nes",F19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,77882,-1,N/A,,77882,,58412,,58412,0
H1,2000,2000,2000,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2581,-1,N/A,,232,,1268,1268,,2
H1,2000,2000,2000,6,1,0,M,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,664,-1,N/A,,48,,326,326,,2
H1,2000,2000,2000,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1918,-1,N/A,,184,,942,942,,2
H1,2000,2000,2000,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6913521,-1,N/A,,5671190,,3043574,,3043574,2
H1,2000,2000,2000,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4221382,-1,N/A,,3560000,,1858400,,1858400,2
H1,2000,2000,2000,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1156596,-1,N/A,,811190,,509174,,509174,2
H1,2000,2000,2000,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1535544,-1,N/A,,1300000,,676000,,676000,2
H1,2001,2001,2001,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3038,-1,N/A,,165,,1651,1651,,2
H1,2001,2001,2001,6,1,0,M,591,Panama,PAN,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,271,-1,N/A,,26,,147,147,,2
H1,2001,2001,2001,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,902,-1,N/A,,72,,490,490,,2
H1,2001,2001,2001,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1866,-1,N/A,,67,,1014,1014,,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5647655,-1,N/A,,4696500,,2538904,,2538904,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,40458,-1,N/A,,30315,,18188,,18188,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1155720,-1,N/A,,851015,,519554,,519554,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2163051,-1,N/A,,1870000,,972400,,972400,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,22026,-1,N/A,,14670,,9902,,9902,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1041619,-1,N/A,,900500,,468260,,468260,2
H1,2001,2001,2001,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1224780,-1,N/A,,1030000,,550600,,550600,2
H1,2002,2002,2002,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6943,-1,N/A,,777,,3761,3761,,2
H1,2002,2002,2002,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4172,-1,N/A,,477,,2260,2260,,2
H1,2002,2002,2002,6,1,0,M,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2771,-1,N/A,,300,,1501,1501,,2
H1,2002,2002,2002,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6311071,-1,N/A,,6011150,,3026392,,3026392,2
H1,2002,2002,2002,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2054277,-1,N/A,,1907612,,985102,,985102,2
H1,2002,2002,2002,6,1,0,X,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,62748,-1,N/A,,43538,,30090,,30090,2
H1,2002,2002,2002,6,1,0,X,591,Panama,PAN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4194045,-1,N/A,,4060000,,2011200,,2011200,2
H2,2003,2003,2003,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6771,-1,N/A,,629,,3400,3400,,2
H2,2003,2003,2003,6,1,0,M,591,Panama,PAN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,313,-1,N/A,,30,,157,157,,2
H2,2003,2003,2003,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4144,-1,N/A,,349,,2081,2081,,2
H2,2003,2003,2003,6,1,0,M,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,548,-1,N/A,,50,,275,275,,2
H2,2003,2003,2003,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1767,-1,N/A,,200,,887,887,,2
H2,2003,2003,2003,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8056032,-1,N/A,,6275310,,3751641,,3751641,2
H2,2003,2003,2003,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,55659,-1,N/A,,48100,,25920,,25920,2
H2,2003,2003,2003,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4899492,-1,N/A,,3982451,,2281661,,2281661,2
H2,2003,2003,2003,6,1,0,X,591,Panama,PAN,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2791536,-1,N/A,,2054225,,1300000,,1300000,2
H2,2003,2003,2003,6,1,0,X,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,309345,-1,N/A,,190534,,144060,,144060,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,859125,-1,N/A,,1020907,,493376,493376,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,695784,-1,N/A,,896180,,399573,399573,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8268,-1,N/A,,950,,4748,4748,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4637,-1,N/A,,509,,2663,2663,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2046,-1,N/A,,315,,1175,1175,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,144698,-1,N/A,,122535,,83097,83097,,2
H2,2004,2004,2004,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3692,-1,N/A,,418,,2120,2120,,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6467574,-1,N/A,,5582894,,3345280,,3345280,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,125184,-1,N/A,,114466,,64750,,64750,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4222421,-1,N/A,,3536277,,2184000,,2184000,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,604,Peru,PER,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1508008,-1,N/A,,1500000,,780000,,780000,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,173914,-1,N/A,,154504,,89955,,89955,2
H2,2004,2004,2004,6,1,0,X,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,438047,-1,N/A,,277647,,226575,,226575,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1300813,-1,N/A,,1878030,,747027,747027,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1071225,-1,N/A,,1652693,,615180,615180,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,36266,-1,N/A,,48434,,20827,20827,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13133,-1,N/A,,5500,,7542,7542,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2617,-1,N/A,,235,,1503,1503,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5830,-1,N/A,,839,,3348,3348,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,170526,-1,N/A,,169004,,97929,97929,,2
H2,2005,2005,2005,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1215,-1,N/A,,1325,,698,698,,2
H2,2005,2005,2005,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5292209,-1,N/A,,4214155,,2737336,,2737336,2
H2,2005,2005,2005,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,376950,-1,N/A,,308289,,194973,,194973,2
H2,2005,2005,2005,6,1,0,X,591,Panama,PAN,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2714414,-1,N/A,,2229741,,1404000,,1404000,2
