Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,178171,-1,N/A,,178171,,248105,248105,,0
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5723,-1,N/A,,262,,2811,2811,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,80838,-1,N/A,,79415,,39707,39707,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1101060,-1,N/A,,1234375,,540834,540834,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,70713,-1,N/A,,11209,,34734,34734,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2443,-1,N/A,,2000,,1200,1200,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,591,Panama,PAN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,801238,-1,N/A,,970083,,393563,393563,,2
H1,2000,2000,2000,6,1,0,M,862,Venezuela,VEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10945,-1,N/A,,970,,5376,5376,,2
H1,2001,2001,2001,6,1,0,X,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,816785,-1,N/A,,487750,,367186,,367186,2
H1,2001,2001,2001,6,1,0,X,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,816785,-1,N/A,,487750,,367186,,367186,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6373427,-1,N/A,,9373657,,3463345,3463345,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,224612,-1,N/A,,250324,,122055,122055,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1217354,-1,N/A,,1269330,,661515,661515,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,946007,-1,N/A,,1431282,,514064,514064,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,73428,-1,N/A,,78223,,39901,39901,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3843984,-1,N/A,,6335368,,2088836,2088836,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,56065,-1,N/A,,8497,,30466,30466,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11430,-1,N/A,,498,,6211,6211,,2
H1,2001,2001,2001,6,1,0,M,862,Venezuela,VEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,547,-1,N/A,,135,,297,297,,2
H1,2002,2002,2002,6,1,0,X,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2724359,-1,N/A,,1991944,,1306431,,1306431,2
H1,2002,2002,2002,6,1,0,X,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2601303,-1,N/A,,1987647,,1247421,,1247421,2
H1,2002,2002,2002,6,1,0,X,862,Venezuela,VEN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6231,-1,N/A,,4252,,2988,,2988,2
H1,2002,2002,2002,6,1,0,X,862,Venezuela,VEN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,116825,-1,N/A,,45,,56022,,56022,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2386188,-1,N/A,,2729817,,1292525,1292525,,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1002859,-1,N/A,,1491888,,543218,543218,,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32452,-1,N/A,,27081,,17578,17578,,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1316895,-1,N/A,,1204102,,713322,713322,,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32468,-1,N/A,,6548,,17587,17587,,2
H1,2002,2002,2002,6,1,0,M,862,Venezuela,VEN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1514,-1,N/A,,198,,820,820,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1365447,-1,N/A,,1574270,,685616,685616,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,160363,-1,N/A,,129557,,80521,80521,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,195139,-1,N/A,,115102,,97983,97983,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,986341,-1,N/A,,1320735,,495260,495260,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5823,-1,N/A,,767,,2924,2924,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8916,-1,N/A,,2940,,4477,4477,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7801,-1,N/A,,1000,,3917,3917,,2
H1,2003,2003,2003,6,1,0,M,862,Venezuela,VEN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1063,-1,N/A,,4169,,534,534,,2
H1,2003,2003,2003,6,1,0,X,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1445928,-1,N/A,,1199784,,673359,,673359,2
H1,2003,2003,2003,6,1,0,X,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1444803,-1,N/A,,1198534,,672835,,672835,2
H1,2003,2003,2003,6,1,0,X,862,Venezuela,VEN,530,Neth. Antilles,ANT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1125,-1,N/A,,1250,,524,,524,2
H1,2004,2004,2004,6,1,0,X,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,303419,-1,N/A,,211511,,156940,,156940,2
H1,2004,2004,2004,6,1,0,X,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,302636,-1,N/A,,211026,,156535,,156535,2
H1,2004,2004,2004,6,1,0,X,862,Venezuela,VEN,533,Aruba,ABW,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,783,-1,N/A,,485,,405,,405,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4909342,-1,N/A,,5105005,,2819323,2819323,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1637467,-1,N/A,,1850156,,940360,940360,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,220930,-1,N/A,,153214,,126875,126875,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2336943,-1,N/A,,2903916,,1342053,1342053,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,77861,-1,N/A,,8870,,44714,44714,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,780,Trinidad and Tobago,TTO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,635677,-1,N/A,,188843,,365055,365055,,2
H1,2004,2004,2004,6,1,0,M,862,Venezuela,VEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,463,-1,N/A,,6,,266,266,,2
H1,2005,2005,2005,6,1,0,X,862,Venezuela,VEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2827,-1,N/A,,1600,,1462,,1462,2
H1,2005,2005,2005,6,1,0,X,862,Venezuela,VEN,530,Neth. Antilles,ANT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2827,-1,N/A,,1600,,1462,,1462,2
