Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,153,-1,N/A,,,,963,963,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,3851,-1,N/A,,3562,,32450,32450,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,69796,-1,N/A,,64566,,87058,87058,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,84,-1,N/A,,78,,501,501,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,249884,-1,N/A,,231160,,1069422,1069422,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,42952,-1,N/A,,39734,,50944,50944,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,231,-1,N/A,,214,,1965,1965,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,574,-1,N/A,,531,,2058,2058,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,23,-1,N/A,,21,,2257,2257,,0
H0,1995,1995,1995,6,1,0,M,462,Maldives,MDV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,90,-1,N/A,,83,,533,533,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,432725,-1,N/A,,400301,,1436313,1436313,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,65,-1,N/A,,60,,774,774,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,34,-1,N/A,,31,,506,506,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1757,-1,N/A,,1625,,9088,9088,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,105,-1,N/A,,97,,1399,1399,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,26,-1,N/A,,24,,1631,1631,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,46601,-1,N/A,,43109,,184168,184168,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,9796,-1,N/A,,9062,,113610,113610,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,13309,-1,N/A,,12312,,39359,39359,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2703,-1,N/A,,2500,,7980,7980,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,11958,-1,N/A,,11062,,88139,88139,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,548,-1,N/A,,507,,6830,6830,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,388,Jamaica,JAM,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,231,-1,N/A,,214,,2636,2636,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,23195,-1,N/A,,21457,,26729,26729,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,231,-1,N/A,,214,,1979,1979,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,164,-1,N/A,,152,,1002,1002,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,20551,-1,N/A,,19011,,18456,18456,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,878,-1,N/A,,812,,11975,11975,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,295,-1,N/A,,273,,1698,1698,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2905,-1,N/A,,2687,,3456,3456,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,223163,-1,N/A,,206441,,734299,734299,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,544,-1,N/A,,503,,3840,3840,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,61527,-1,N/A,,56917,,69643,69643,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,291,-1,N/A,,269,,3432,3432,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1689,-1,N/A,,1562,,11489,11489,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,8985,-1,N/A,,8312,,80461,80461,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1081,-1,N/A,,1000,,11242,11242,,0
H0,1996,1996,1996,6,1,0,M,462,Maldives,MDV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,94,-1,N/A,,88,,492,492,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,242740,-1,N/A,,224551,,346668,346668,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,40,-1,N/A,,37,,568,568,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,224,-1,N/A,,207,,3767,3767,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,8175,-1,N/A,,7562,,22259,22259,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1622,-1,N/A,,1500,,14522,14522,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,5405,-1,N/A,,5000,,17102,17102,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,312,-1,N/A,,289,,706,706,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,105,-1,N/A,,97,,1228,1228,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1824,-1,N/A,,1687,,14550,14550,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,128693,-1,N/A,,119050,,142375,142375,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1689,-1,N/A,,1562,,1506,1506,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,28363,-1,N/A,,26238,,57154,57154,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,27696,-1,N/A,,25621,,27081,27081,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,169,-1,N/A,,156,,944,944,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,18216,-1,N/A,,16851,,16677,16677,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,19563,-1,N/A,,18097,,23179,23179,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,169,-1,N/A,,156,,1929,1929,,0
H1,1997,1997,1997,6,1,0,M,462,Maldives,MDV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,477,-1,N/A,,441,,1121,1121,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,259975,-1,N/A,,240495,,312590,312590,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,5135,-1,N/A,,4750,,14459,14459,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,359,-1,N/A,,332,,514,514,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2297,-1,N/A,,2125,,8451,8451,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,756,-1,N/A,,699,,1931,1931,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,176718,-1,N/A,,163476,,195190,195190,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,23229,-1,N/A,,21488,,31677,31677,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,47407,-1,N/A,,43855,,47554,47554,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,3648,-1,N/A,,3375,,12418,12418,,0
H1,1998,1998,1998,6,1,0,M,462,Maldives,MDV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,428,-1,N/A,,395,,396,396,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,229647,-1,N/A,,212439,,305188,305188,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,6013,-1,N/A,,5562,,7090,7090,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,18520,-1,N/A,,17132,,36010,36010,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,814,-1,N/A,,753,,10069,10069,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2162,-1,N/A,,2000,,11346,11346,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,137987,-1,N/A,,127648,,164297,164297,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,21665,-1,N/A,,20042,,30786,30786,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,40339,-1,N/A,,37316,,37198,37198,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2094,-1,N/A,,1937,,8241,8241,,0
H1,1999,1999,1999,6,1,0,M,462,Maldives,MDV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,53,-1,N/A,,49,,151,151,,0
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,332716,-1,N/A,,307762,,379454,379454,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,878,-1,N/A,,812,,2752,2752,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,8230,-1,N/A,,7613,,6187,6187,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,300,-1,N/A,,278,,432,432,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,22760,-1,N/A,,21053,,37133,37133,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,120,-1,N/A,,111,,146,146,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1097,-1,N/A,,1015,,2368,2368,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,21268,-1,N/A,,19673,,23814,23814,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,20,-1,N/A,,18,,29,29,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,455,-1,N/A,,421,,556,556,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,388,Jamaica,JAM,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,8,-1,N/A,,7,,12,12,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,150803,-1,N/A,,139493,,175207,175207,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4939,-1,N/A,,4568,,6798,6798,,4
H1,2000,2000,2000,6,1,0,M,462,Maldives,MDV,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,20,-1,N/A,,18,,20,20,,4
